TIMESTAMP_1,_Ta_1_1_1,RH_1_1_1,Rg_1_1_1,Lwin_1_1_1,Lwout_1_1_1,Swin_1_1_1,Swout_1_1_1,PPFD_1_1_1,P_1_1_1,P_rain_1_1_1
yyyy-mm-dd HHMM,C,%,W+1m-2,W+1m-2,W+1m-2,W+1m-2,W+1m-2,umol+1m-2s-1,mm,mm
2015-10-30 0230,-1.1075,70.87583,1.827501,281.4462,307.2465,1.827501,0.0326946,0.4831276,0,0
2015-10-30 0300,-1.1025,70.535,1.856821,279.4019,306.1618,1.856821,0.04403732,0.5268573,0,0
2015-10-30 0330,-1.101667,69.83583,1.479047,285.8748,307.0558,1.479047,0.04570613,0.585155,0,0
2015-10-30 0400,-1.2175,69.07333,1.510428,285.1796,306.9596,1.510428,0.1344516,0.5537653,0,0
2015-10-30 0430,-1.791667,70.75249,3.803794,242.9846,301.9323,3.803794,0.3046006,0.4898832,0,0
2015-10-30 0500,-2.9025,75.28666,5.277484,222.5983,295.1279,5.277484,0.3236246,0.5213181,0,0
2015-10-30 0530,-3.710833,79.11916,5.740056,221.5152,287.505,5.740056,0.1051005,0.415971,0,0
2015-10-30 0600,-3.806667,78.48167,4.731183,221.3178,286.225,4.731183,0.1585074,0.4249607,0,0
2015-10-30 0630,-4.651666,80.04,4.777892,217.7807,284.0887,4.777892,0.2886587,0.4283713,0,0
2015-10-30 0700,-6.965833,85.88916,6.28707,216.0393,281.1732,6.28707,1.04999,0.3891737,0,0
2015-10-30 0730,-7.559166,87.58083,5.377242,214.2603,277.5985,5.377242,0.5223678,0.6808507,0,0
2015-10-30 0800,-7.709167,90.48499,4.754215,211.9542,276.0455,4.754215,0.06241195,9.017347,0,0
2015-10-30 0830,-6.746666,90.98583,0.939462,211.7606,275.4339,0.939462,0.6377199,52.8277,0,0
2015-10-30 0900,-4.500833,85.68,51.17118,213.2444,280.1937,51.17118,8.403705,154.5752,0,0
2015-10-30 0930,-3.0275,79.05166,115.9118,214.8701,291.2127,115.9118,16.84308,269.9081,0,0
2015-10-30 1000,-1.951667,73.69749,155.911,218.0669,300.3947,155.911,26.96491,334.9842,0,0
2015-10-30 1030,-1.144167,69.54749,182.5021,222.1459,307.1514,182.5021,35.32308,417.6935,0,0
2015-10-30 1100,-0.105,65.82583,222.0752,228.8526,313.2199,222.0752,41.7342,496.1106,0,0
2015-10-30 1130,0.68,63.17333,259.7962,232.8517,320.1918,259.7962,46.6117,444.7404,0,0
2015-10-30 1200,0.8183333,64.59,237.4848,268.4731,323.9465,237.4848,39.67158,245.3693,0,0
2015-10-30 1230,1.055,67.84333,140.2105,308.6039,322.6075,140.2105,21.11151,246.6682,0,0
2015-10-30 1300,1.25,70.13667,145.7827,309.9661,324.1371,145.7827,21.85906,212.2439,0,0
2015-10-30 1330,1.550833,72.53333,126.9047,312.8656,324.6772,126.9047,18.78322,241.07,0,0
2015-10-30 1400,1.904167,73.92917,146.3453,311.6446,326.8204,146.3453,21.66484,272.0933,0,0
2015-10-30 1430,2.190833,74.65749,164.9638,298.9276,328.8634,164.9638,24.73294,316.5377,0,0
2015-10-30 1500,2.275,74.90083,177.2986,257.6924,327.5467,177.2986,29.04806,327.5421,0,0
2015-10-30 1530,2.085833,76.54166,173.8388,249.1891,326.0349,173.8388,29.43084,277.3709,0,0
2015-10-30 1600,2.209167,75.59083,150.1658,246.2184,323.3916,150.1658,27.50104,232.051,0,0
2015-10-30 1630,1.416667,78.9775,125.7957,247.3863,321.8465,125.7957,22.67991,82.93447,0,0
